Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
10152,DECIDUOUS,Ulmus,americana,American Elm,60.0,93.0,40.00908975,-105.2729895
10154,DECIDUOUS,Acer,platanoides,Norway Maple,29.0,40.0,40.00906752,-105.2730935
10014,CONIFEROUS,Abies,concolor,White Fir,21.0,44.0,40.00883233,-105.274164
10015,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,36.0,40.00888126,-105.2742478
10031,DECIDUOUS,Catalpa,speciosa,Catalpa,30.0,80.0,40.00880584,-105.2738156
10045,DECIDUOUS,Ulmus,americana,American Elm,57.0,65.0,40.00857037,-105.2751444
10049,DECIDUOUS,Betula,None,Birch,31.0,29.0,40.00878619,-105.2751343
10054,DECIDUOUS,Crataegus,mollis,Hawthorne,13.0,18.0,40.00890953,-105.2752637
10060,DECIDUOUS,Crataegus,mollis,Hawthorne,23.0,14.0,40.00898727,-105.2754941
10063,DECIDUOUS,Catalpa,speciosa,Western Catalpa,25.0,78.0,40.00913097,-105.2757072
10110,CONIFEROUS,Picea,abies,Norway Spruce,12.0,39.0,40.00848625,-105.2723113
10115,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,19.0,55.0,40.0093214,-105.2730568
10125,DECIDUOUS,Platanus,acerifolia,Planetree,6.0,15.0,40.00849711,-105.2724394
10130,DECIDUOUS,Ulmus,americana,American Elm,54.0,65.0,40.00882798,-105.2724247
10243,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,12.0,48.0,40.00949198,-105.2752866
10277,DECIDUOUS,Acer,saccharinum,Silver Maple,38.0,55.0,40.00977932,-105.2747668
10278,DECIDUOUS,Fraxinus,americana,White Ash,16.0,38.0,40.00960564,-105.2747737
10284,DECIDUOUS,Quercus,rubra,Northern Red Oak,30.0,45.0,40.0095438,-105.2750225
