Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
13434,DECIDUOUS,Salix,None,Black Willow,40.0,75.0,40.00860347,-105.2746973
13455,DECIDUOUS,Populus,tremuloides,Aspen,4.0,8.0,40.00883585,-105.2745516
13456,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,15.0,40.0,40.00895436,-105.2744064
13467,CONIFEROUS,Juniperus,None,Juniper,15.0,30.0,40.00877423,-105.2744362
13468,CONIFEROUS,Juniperus,None,Juniper,15.0,30.0,40.00878089,-105.2744656
13474,CONIFEROUS,Juniperus,None,Juniper,15.0,20.0,40.00842814,-105.2747306
13309,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,25.0,35.0,40.00907107,-105.2756646
13547,CONIFEROUS,Picea,pungens,Blue Spruce,4.0,9.0,40.00914763,-105.2712378
13799,DECIDUOUS,Fraxinus,americana,Ash,12.0,0.0,40.01008018,-105.2732835
13808,DECIDUOUS,Fraxinus,americana,Ash,12.0,0.0,40.00997352,-105.2732212
13818,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,3.0,10.0,40.01018735,-105.2732017
13820,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,15.0,20.0,40.01028235,-105.2731543
13824,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,6.0,12.0,40.01034945,-105.2732235
13834,DECIDUOUS,Crataegus,mollis,Hawthorne,15.0,20.0,40.01031834,-105.2743236
15603,CONIFEROUS,Picea,omorika,Serbian spruce,4.0,6.0,40.0089392,-105.2742818
15644,DECIDUOUS,Acer,platanoides,Norway maple 'Pacific Sunset',3.0,8.0,40.00973489,-105.2746417
10013,CONIFEROUS,Picea,pungens,Blue Spruce,19.0,30.0,40.00887285,-105.2741052
10047,DECIDUOUS,Betula,None,Birch,31.0,29.0,40.00878729,-105.2754761
10062,DECIDUOUS,Catalpa,speciosa,Western Catalpa,7.0,15.0,40.00905517,-105.2754404
10065,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,32.0,69.0,40.0090969,-105.2751946
10114,CONIFEROUS,Pinus,monticola,Western White Pine,33.0,57.0,40.00927316,-105.2730234
10136,DECIDUOUS,Quercus,alba,White Oak,5.0,8.0,40.00893887,-105.2719463
10242,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,12.0,48.0,40.00950236,-105.2752401
10286,DECIDUOUS,Acer,saccharinum,Silver Maple,45.0,56.0,40.00964479,-105.2750387
10316,CONIFEROUS,Pinus,nigra,Austrian Pine,25.0,39.0,40.00951333,-105.2746085
10318,CONIFEROUS,Pinus,nigra,Austrian Pine,25.0,54.0,40.00966713,-105.2745859
10322,DECIDUOUS,Crataegus,mollis,Hawthorne,24.0,35.0,40.01009242,-105.2758011
10325,DECIDUOUS,Acer,saccharinum,Silver Maple,35.0,48.0,40.0100786,-105.2757509
10334,DECIDUOUS,Acer,saccharinum,Silver Maple,40.0,60.0,40.00961608,-105.2758548
10346,DECIDUOUS,Prunus,None,Flowering fruit trees,16.0,42.0,40.01024523,-105.2752059
10357,DECIDUOUS,Acer,platanoides,Norway Maple,30.0,34.0,40.01001935,-105.2750102
10460,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,41.0,40.00966825,-105.2755382
10473,CONIFEROUS,Juniperus,None,Juniper,16.0,24.0,40.01027444,-105.2759796
10474,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,24.0,40.01032725,-105.2759235
10475,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,66.0,40.01031386,-105.2758233
